Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Total/day,Total_Confirmed,Cured,Deaths,Active/Day,Confirmed_Active
1,30/01/2020,6:00 PM,Kerala,1,0,1,1,0,0,1,1
2,31/01/2020,6:00 PM,Kerala,1,0,1,2,0,0,1,2
3,1/2/2020,6:00 PM,Kerala,2,0,2,4,0,0,2,4
4,2/2/2020,6:00 PM,Kerala,3,0,3,7,0,0,3,7
5,3/2/2020,6:00 PM,Kerala,3,0,3,10,0,0,3,10
6,4/2/2020,6:00 PM,Kerala,3,0,3,13,0,0,3,13
7,5/2/2020,6:00 PM,Kerala,3,0,3,16,0,0,3,16
8,6/2/2020,6:00 PM,Kerala,3,0,3,19,0,0,3,19
9,7/2/2020,6:00 PM,Kerala,3,0,3,22,0,0,3,22
10,8/2/2020,6:00 PM,Kerala,3,0,3,25,0,0,3,25
11,9/2/2020,6:00 PM,Kerala,3,0,3,28,0,0,3,28
12,10/2/2020,6:00 PM,Kerala,3,0,3,31,0,0,3,31
13,11/2/2020,6:00 PM,Kerala,3,0,3,34,0,0,3,34
14,12/2/2020,6:00 PM,Kerala,3,0,3,37,0,0,3,37
15,13/02/2020,6:00 PM,Kerala,3,0,3,40,0,0,3,40
16,14/02/2020,6:00 PM,Kerala,3,0,3,43,0,0,3,43
17,15/02/2020,6:00 PM,Kerala,3,0,3,46,0,0,3,46
18,16/02/2020,6:00 PM,Kerala,3,0,3,49,0,0,3,49
19,17/02/2020,6:00 PM,Kerala,3,0,3,52,0,0,3,52
20,18/02/2020,6:00 PM,Kerala,3,0,3,55,0,0,3,55
21,19/02/2020,6:00 PM,Kerala,3,0,3,58,0,0,3,58
22,20/02/2020,6:00 PM,Kerala,3,0,3,61,0,0,3,61
23,21/02/2020,6:00 PM,Kerala,3,0,3,64,0,0,3,64
24,22/02/2020,6:00 PM,Kerala,3,0,3,67,0,0,3,67
25,23/02/2020,6:00 PM,Kerala,3,0,3,70,0,0,3,70
26,24/02/2020,6:00 PM,Kerala,3,0,3,73,0,0,3,73
27,25/02/2020,6:00 PM,Kerala,3,0,3,76,0,0,3,76
28,26/02/2020,6:00 PM,Kerala,3,0,3,79,0,0,3,79
29,27/02/2020,6:00 PM,Kerala,3,0,3,82,0,0,3,82
30,28/02/2020,6:00 PM,Kerala,3,0,3,85,0,0,3,85
31,29/02/2020,6:00 PM,Kerala,3,0,3,88,0,0,3,88
32,1/3/2020,6:00 PM,Kerala,3,0,3,91,0,0,3,91
33,2/3/2020,6:00 PM,Telengana,1,0,1,92,0,0,1,92
34,2/3/2020,6:00 PM,Kerala,3,0,3,95,0,0,3,95
35,2/3/2020,6:00 PM,Delhi,1,0,1,96,0,0,1,96
36,3/3/2020,6:00 PM,Telengana,1,0,1,97,0,0,1,97
37,3/3/2020,6:00 PM,Rajasthan,0,1,1,98,0,0,1,98
